"CAMPAIGN_PERFORMANCE_REPORT (Jul 14, 2022-Jul 20, 2022)"
Campaign ID,Campaign,Impressions,Clicks,Cost,Conversions,Day,Device,Network,Top vs. Other,Currency,Cost / conv.,CTR,Avg. CPC,Conv. rate,Total conv. value,Avg. Cost,Avg. CPM,Network (with search partners)
16652010605,Merken,6,1,3880000,0.00,2022-07-19,Computers,Search Network,Google search: Top,EUR,0,16.67%,3880000,0.00%,0.00,3880000,646666667,Google search
16652010605,Merken,4,0,0,0.00,2022-07-17,Mobile devices with full browsers,Search Network,Google search: Other,EUR,0,0.00%,0,0.00%,0.00,0,0,Google search
16652010605,Merken,7,3,9020000,0.00,2022-07-17,Mobile devices with full browsers,Search Network,Google search: Top,EUR,0,42.86%,3006667,0.00%,0.00,3006667,1288571429,Google search
16652010605,Merken,4,1,3130000,0.00,2022-07-15,Mobile devices with full browsers,Search Network,Google search: Top,EUR,0,25.00%,3130000,0.00%,0.00,3130000,782500000,Google search
16652010605,Merken,7,0,0,0.00,2022-07-14,Mobile devices with full browsers,Search Network,Google search: Top,EUR,0,0.00%,0,0.00%,0.00,0,0,Google search
16652010605,Merken,1,0,0,0.00,2022-07-14,Computers,Search Network,Google search: Other,EUR,0,0.00%,0,0.00%,0.00,0,0,Google search
16652010605,Merken,7,0,0,0.00,2022-07-19,Mobile devices with full browsers,Search Network,Google search: Top,EUR,0,0.00%,0,0.00%,0.00,0,0,Google search
16652010605,Merken,5,0,0,0.00,2022-07-18,Computers,Search Network,Google search: Top,EUR,0,0.00%,0,0.00%,0.00,0,0,Google search
16652010605,Merken,7,2,6690000,0.00,2022-07-14,Computers,Search Network,Google search: Top,EUR,0,28.57%,3345000,0.00%,0.00,3345000,955714286,Google search
16652010605,Merken,1,0,0,0.00,2022-07-16,Computers,Search Network,Google search: Top,EUR,0,0.00%,0,0.00%,0.00,0,0,Google search
16652010605,Merken,1,0,0,0.00,2022-07-14,Tablets with full browsers,Search Network,Google search: Top,EUR,0,0.00%,0,0.00%,0.00,0,0,Google search
16652010605,Merken,5,3,10520000,0.00,2022-07-18,Mobile devices with full browsers,Search Network,Google search: Top,EUR,0,60.00%,3506667,0.00%,0.00,3506667,2104000000,Google search
